key,url,username,title,description,favicon,tag1,tag2,tag3,tag4,tag5
-64,https://venngage.com/blog/google-io/?utm_source=newsletter&utm_medium=email&utm_term=infographic&utm_content=data%20visualization&utm_campaign=google,Xiaoyun Yang,Google I/O releases 2008 - 2016 infographics,,Image,tech,software,frontend,backend,NULL
-65,http://blog.crew.co/the-science-behind-fonts-and-how-they-make-you-feel/,Xiaoyun Yang,The Science Behind Fonts and How they make you feel,UX design,Reading,UX,webapp,frontend,design,NULL
-66,https://www.quora.com/What-are-some-good-pre-seed-investment-firms-in-DC,Xiaoyun Yang,Early stage funding in DC,"Takeaway - Three angels (NextGen Angels, Mark Walsh, and Sean Glass), one accelerator (Acceleprise) and one incubator (1776). 3Si Micro Venture & Holdings is a pre-seed investment firm.",Discussion,startup,business,Fundraising,investment,NULL
-67,http://blog.crew.co/the-science-behind-fonts-and-how-they-make-you-feel/,Xiaoyun Yang,Intro to Typography and graphic/UX design,"Different fonts and what fonts to use for articles, logos, etc.",Reading,UX,design,learning,NULL,NULL
-68,https://angel.co/pre-seed/investors,Xiaoyun Yang,Pre-seed Angel Investors,AngelList,Interactive,startup,business,Fundraising,investment,NULL
-69,https://www.quora.com/What-is-seed-funding-and-how-does-it-work,Xiaoyun Yang,What is seed funding and how you get it,Answer on Quora,Discussion,startup,business,Fundraising,investment,NULL
-70,https://medium.com/life-learning/the-9-environments-that-make-up-your-life-357d23f4a8af#.rp9ctlxwq,Xiaoyun Yang,The 9 Environments That Make Up Your Life,"Body, Self, Spirituality (religion or philosophy), Relationships, Network, Financial, Physical, Nature. How to design environments for optimal performance and creatvivity.",Reading,wellness,NULL,NULL,NULL,NULL
-71,https://medium.com/data-lab/introducing-charted-15161b2cd71e#.lzzvhvtbs,Xiaoyun Yang,What is Charted and how Medium uses it,An article written by Medium on their open source project,Reading,UX,design,frontend,datavis,NULL
-72,https://jvaneyck.wordpress.com/2014/01/07/cross-domain-requests-in-javascript/,Xiaoyun Yang,How to circumvent the Same-Origin-Policy to access resource from another doman,Three techniques exist - (1) JSONP (2) Server Proxy and (3) Cross Origin Resource Sharing (CORS),Reading,frontend,webapp,learning,NULL,NULL
-73,http://bl.ocks.org/pbogden/d46d6dbfcd6f35a3ccda,Xiaoyun Yang,Retrieve data as CSV from google sheets,Using CORS. hosted on bl.ocks.,Reading,frontend,webapp,learning,NULL,NULL
